drug,protein
DB01234,4843
DB01254,25
DB00398,2324
DB01268,2324
DB01229,81027
DB01268,2321
DB00398,5894
DB01234,190
DB01030,116447
DB00361,203068
DB00570,203068
DB00398,2322
DB01268,2322
DB00398,5159
DB01254,5159
DB01268,5159
DB01229,596
DB00331,5564
DB00441,7298
DB00544,7298
DB00441,6240
DB00563,1719
DB00398,3791
DB01268,3791
DB01234,301
DB01254,27
DB00398,3815
DB01254,3815
DB01268,3815
DB00188,5707
DB00188,5708
DB01259,2064
DB00398,673
DB00441,51727
DB00773,7153
DB00997,7153
DB00530,1956
DB01259,1956
DB01234,2908
DB01254,6714
DB01254,2534
DB01254,7525
DB01254,1969
DB01254,3932
DB01268,5156
DB01268,1436
DB07101,5604
DB01254,6777
DB00530,8856
DB01030,7150
DB00570,3725
DB02424,3320
DB07227,5229
DB00570,7846
DB02546,55869
DB07232,142
DB02424,3326
DB00188,5689
DB00188,5693
DB00188,5690
DB02546,3065
DB02546,3066
DB02546,8841
DB02546,10013
DB07227,2342
DB07227,2339
DB00570,51174
DB00570,51175
DB00570,7283
DB07232,10038
DB00398,10733
DB00398,8767
DB00398,6793
DB00398,25
DB00398,4914
DB00398,3643
DB00398,3932
DB00398,2534
DB00398,1436
DB00398,5979
DB00398,3055
DB00398,3350
DB00398,2268
DB00398,2260
DB00398,6714
DB00398,2321
DB00398,2261
DB00398,1017
DB00398,3356
DB00398,3358
DB00398,1969
DB00398,2042
DB00398,2046
DB00398,2053
DB00398,3363
DB00398,7048
DB00398,1445
DB00398,3357
DB00398,27
DB00398,2444
DB00398,5601
DB00398,1452
DB00398,1195
DB00398,2932
DB00398,3362
DB00398,3718
DB00398,3984
DB00398,3985
DB00398,6300
DB00398,2044
DB00398,2050
DB00398,2047
DB00398,2043
DB00398,1018
DB00398,1020
DB00398,7010
DB00398,5607
DB00398,2045
DB00398,5600
DB00398,1432
DB00398,4921
DB00398,91807
DB00398,57551
DB00398,204851
DB00398,147746
DB00398,140469
DB00398,11184
DB00398,9212
DB00398,85366
DB00398,9748
DB00398,10114
DB00398,2872
DB00398,27148
DB00398,285220
DB00398,23043
DB00398,9344
DB00398,11183
DB00530,10733
DB00530,6790
DB00530,2580
DB00530,2051
DB00530,1613
DB00530,8767
DB00530,3717
DB00530,9262
DB00530,6793
DB00530,11309
DB00530,25
DB00530,2064
DB00530,3932
DB00530,5979
DB00530,4233
DB00530,1576
DB00530,3815
DB00530,6714
DB00530,2263
DB00530,2065
DB00530,7297
DB00530,558
DB00530,2868
DB00530,7272
DB00530,3791
DB00530,2322
DB00530,1445
DB00530,7294
DB00530,27
DB00530,5601
DB00530,1454
DB00530,3718
DB00530,5602
DB00530,2044
DB00530,2050
DB00530,2047
DB00530,54101
DB00530,10461
DB00530,5607
DB00530,817
DB00530,2066
DB00530,22848
DB00530,388228
DB00530,80122
DB00530,120892
DB00530,25989
DB00530,50488
